"user_id","password"
"Drogba11@gmail.com","DD11"
"Henry12@gmail.com","TH12"
"Rivaldo10@gmail.com","RV10"
"match_id","team1_id","team2_id","date","venue"
"C01","BRA","ARG","2024-06-24","Rose Bowl"
"C02","URU","CHI","2024-06-25","MetLife Stadium"
"C03","COL","BRA","2024-06-26","NRG Stadium"
"C04","ARG","URU","2024-06-27","Rose Bowl"
"C05","URU","COL","2024-06-29","MetLife Stadium"
"C06","ARG","CHI","2024-06-30","Rose Bowl"
"C07","ARG","COL","2024-07-02","NRG Stadium"
"C08","BRA","CHI","2024-07-02","AT&T Stadium"
"C09","BRA","URU","2024-07-04","MetLife Stadium"
"C10","COL","CHI","2024-07-05","Rose Bowl"
"E01","SPA","ENG","2024-06-24","Signal Iduna Park"
"E02","FRA","GER","2024-06-26"," Allianz Arena"
"E03","GER","ITA","2024-06-27"," Olympiastadion"
"E04","FRA","ENG","2024-06-28","Signal Iduna Park"
"E05","SPA","GER","2024-06-29"," Olympiastadion"
"E06","FRA","ITA","2024-06-30"," Allianz Arena"
"E07","GER","ENG","2024-06-30","Red Bull Arena"
"E08","SPA","ITA","2024-07-01","Signal Iduna Park"
"E09","FRA","SPA","2024-07-04"," Olympiastadion"
"E10","ENG","ITA","2024-07-05"," Allianz Arena"
"match_id","team1_score","team2_score","winner_team_id"
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
"player_id","player_name","team_id","age","position"
"p01","Lionel Messi","ARG","37","CF"
"p02","Lautaro Martinez","ARG","27","CF"
"p03","Enzo Fernandez","ARG","23","CMF"
"p04","Cristian Romero","ARG","26","CB"
"p05","Nicolas Otamendi","ARG","36","CB"
"p06","Emiliano Martinez","ARG","32","GK"
"p07","Kylian Mbappe","FRA","25","CF"
"p08","Ousmane Dembele","FRA","27","CF"
"p09","Ngolo Kante","FRA","33","CMF"
"p10","Lucas Hernandes","FRA","28","CB"
"p11","Jules Kounde","FRA","25","CB"
"p12","Mike Maignan","FRA","29","GK"
"p13","Dani Olmo","SPA","26","CF"
"p14","Lamine Yamal","SPA","17","CF"
"p15","Pedri","SPA","21","CMF"
"p16","Rodri","SPA","28","DMF"
"p17","Aymeric Laporte","SPA","30","CB"
"p18","Unai Simon","SPA","27","GK"
"p19","Harrry Kane","ENG","31","CF"
"p20","Jude Bellingam","ENG","21","CMF"
